Frequency,Relative Permittivity,Loss Factor,Electric Conductivity
9.450000.E+10,7.901721.E+00,6.322426.E+00,3.323800.E+01
9.500000.E+10,8.022052.E+00,6.420092.E+00,3.393003.E+01
9.550000.E+10,7.923209.E+00,6.564555.E+00,3.487611.E+01
9.600000.E+10,7.864992.E+00,6.586616.E+00,3.517653.E+01
9.650000.E+10,7.738591.E+00,6.624457.E+00,3.556289.E+01
9.700000.E+10,7.670225.E+00,6.564571.E+00,3.542399.E+01
9.750000.E+10,7.733749.E+00,6.544371.E+00,3.549702.E+01
9.800000.E+10,7.781777.E+00,6.752581.E+00,3.681419.E+01
9.850000.E+10,7.540363.E+00,6.817282.E+00,3.735656.E+01
9.900000.E+10,7.443017.E+00,6.531935.E+00,3.597464.E+01
9.950000.E+10,7.809777.E+00,6.329933.E+00,3.503819.E+01
1.000000.E+11,7.903374.E+00,6.402726.E+00,3.561921.E+01
